name,latitude,longitude
Europe,51.0000003,9.9999997
States,39.7837304,-100.4458825
Southwark,51.5029222,-0.103458
Mexico,19.4325301,-99.1332102
Pennsylvania,40.9699889,-77.7278831
Delaware Bay,39.1097932,-75.1584029
Washington,38.8949549,-77.0366456
Philadelphia,39.9523993,-75.1635898
Virginia,37.1232245,-78.4927721
United States,39.7837304,-100.4458825
Castile,39.9886846,-80.126169
Ohio,40.2253569,-82.6881395
Cuba,23.0131338,-80.8328748
Republic of Texas,29.82795795,-95.2398131468198
Texas,31.8160381,-99.5120986
